clientes,data_aquisicao,dat_cancelamento
Toni Nunez,2023-06-22,
Don Kaplan,2021-03-16,
Carolyn Delrio,2025-11-14,
Corine Ullrich,2025-02-16,
David Rau,2026-01-31,
Warren Vargas,2024-07-03,
Kristopher Carter,2023-03-03,
Samuel Fowlie,2024-01-31,
Michael Wiggen,2024-10-07,
Duncan Hereford,2021-03-04,
Mary Guidry,2020-03-26,
Summer Hicks,2023-03-28,
Joyce Andrews,2023-08-23,
Shannon Friday,2025-07-19,
Miguel Gaarder,2022-07-09,
Joseph Tompkins,2023-06-10,
Vicky Lee,2020-11-15,
Robbie Simons,2025-11-12,
John Sevilla,2026-02-05,
Melissa Moore,2023-01-16,
Thelma Evans,2026-02-24,
Stephen Miller,2022-10-19,
Robert Herrera,2021-02-01,
Stephen Ralston,2020-02-20,
Kimberly Wagner,2023-05-07,
Martha Williams,2023-12-24,
Ben Greco,2022-05-25,
Tina Wilson,2026-06-15,
Philip Miller,2025-04-12,
Rafaela Hutchins,2024-06-23,
Paula Quillen,2020-02-03,
Theda Rembert,2020-07-09,
Edward Thompson,2021-04-15,
Arthur Miller,2026-06-18,
Jacquelyn Renk,2023-02-02,
Hazel Carvin,2025-04-24,
Charlotte Williamson,2022-01-21,
Beatrice Tuttle,2023-12-28,
John Casey,2026-10-25,
Robert Chadwell,2025-01-13,
Bill Hughes,2023-05-22,
Tiffany Hill,2020-12-29,
Shirley Gentile,2026-12-02,
David Reid,2020-01-01,
Mary Carr,2024-12-29,
Vida Watkins,2022-04-20,
Helen Garcia,2024-07-04,
Geraldine Graven,2026-04-29,
Richard Scruggs,2022-12-11,
Timothy Mims,2020-09-04,
Lewis Brun,2020-12-01,
Eleanor Sun,2026-10-04,
Richard Hampton,2024-07-10,
John Sodomka,2022-10-27,
Kimberly Alvares,2023-05-06,
Orlando Davis,2025-07-25,
David Schloss,2021-07-21,
Thomas Johansson,2020-10-19,
William Clark,2023-10-22,
Mark Wiederhold,2025-09-13,
Joseph Lindsay,2024-12-20,
Patricia Rice,2020-06-10,
Mary Wooten,2023-06-12,
Percy Horton,2026-09-08,
Fabian Escobar,2020-08-09,
Emmanuel Navarro,2020-02-01,
Pamela Laverriere,2020-04-10,
Frank Blackstock,2021-10-18,
Michael Carman,2025-09-08,
Elva Rigsby,2026-06-16,
Carol Ross,2023-05-20,
Edna Turner,2025-05-02,
Sophia Franklin,2024-10-06,
Lisa Burns,2026-06-29,
Dorothy Bailey,2022-11-17,
Marvin Swanger,2026-05-07,
Donna Houser,2021-09-08,
Louise Streller,2024-08-26,
Rubin Lobe,2025-09-27,
Melissa Riley,2024-09-24,
Guadalupe Alexander,2024-06-21,
Karin Burback,2025-02-15,
Ilse Moore,2021-11-09,
Carolyn Shuford,2020-06-04,
Luis Mays,2024-06-26,
Patty Virgil,2025-04-10,
Shannon Beebe,2023-01-09,
Bobbie Overton,2023-04-19,
Georgette Vanschoick,2024-02-29,
Andrew Zimmer,2025-04-30,
Jose Franck,2021-09-30,
Tammy Hutchins,2025-07-04,
Troy Gold,2020-09-17,
Raymond Pullum,2024-12-31,
Michael Guetierrez,2022-11-01,
Kenneth Dotson,2023-09-04,
Norma Rhodes,2025-12-15,
Ronald Flores,2021-01-16,
Karen Mondragon,2026-07-15,
Christian Forrester,2025-06-20,
Helen Murphy,2024-05-18,
Victor Willis,2026-06-29,
Janice Roundtree,2020-01-31,
Lahoma Goss,2020-05-14,
Jeffery Lopez,2020-09-08,
Ralph Crisp,2021-05-20,
Donald Eckert,2024-05-11,
Judith Favorito,2024-09-17,
Gary Short,2026-02-01,
Faye Hoffman,2024-10-22,
Nelson Mendez,2022-06-01,
Sarah Hochstetler,2025-10-05,
Robert Harris,2023-08-26,
David Lopez,2026-03-14,
Richard Goshorn,2020-10-24,
Roger Hudson,2024-10-13,
Dwayne Marshall,2024-03-31,
James Wilson,2020-04-13,
Guy Mcarthur,2024-09-17,
Audra Sanders,2024-10-04,
Eva Gustafson,2022-08-22,
Charles Owens,2025-12-07,
Donald Watts,2022-08-04,
Patricia Nguyen,2020-08-21,
Heidi Fiske,2021-09-10,
John Zuber,2022-07-14,
Mildred Montez,2024-08-05,
Juan Chiaramonte,2026-09-18,
Kevin Chase,2024-10-15,
Robert Jones,2020-05-24,
David Newton,2022-01-23,
Craig King,2022-11-25,
Patricia Embree,2026-07-28,
Oscar Hart,2023-07-26,
Yolanda Cardone,2023-03-09,
Celia Christopher,2025-06-30,
Anne Bayer,2025-08-28,
Paul Mills,2021-03-28,
Shanon Thornton,2021-10-31,
Linda Knopp,2021-08-15,
Brandon Black,2025-10-05,
Grace Sliz,2023-02-05,
Robert Brunton,2021-06-08,
Christa Hyden,2022-05-21,
Robert Hooper,2020-10-29,
Lindsey Bryant,2022-12-24,
John Knoll,2023-07-02,
Shirley Cintron,2022-06-14,
John Isaksen,2020-01-02,
Ron Edwards,2026-12-08,
Vera Lopez,2022-05-13,
Tara Toft,2021-01-23,
Renee Sayles,2020-01-05,
Dean Alvarado,2023-08-04,
Nicole Filip,2021-12-29,
Robert Lewis,2020-01-31,
Stephanie Powell,2023-08-02,
Beatrice Herrington,2020-08-08,
Judy Stillwagon,2025-06-16,
Ronald Grohs,2022-09-27,
Donna Eaton,2020-06-14,
Violette Qualls,2026-06-01,
Theresa Garrett,2023-12-18,
Trudy Cunningham,2024-08-25,
Elizabeth Bury,2025-12-17,
Priscilla Roberts,2022-06-23,
Albert Champagne,2026-09-17,
Joan West,2022-01-13,
Jan Hernandez,2024-07-14,
Ollie Hershman,2021-04-03,
Timothy Chen,2020-08-26,
Iva Griffie,2020-06-10,
Jennifer Bodrey,2024-05-17,
Cindy Moore,2026-09-21,
Arlene Bailey,2022-06-23,
Rebecca Matthews,2021-04-23,
Michael Shipley,2021-05-25,
Curtis Bova,2023-06-14,
Mark Conner,2023-02-22,
Christine Nieto,2020-08-26,
Patsy Burr,2024-03-19,
Mary Rivera,2024-03-18,
Walter Partis,2020-07-03,
Sylvia Monterrano,2026-03-18,
Annie Usher,2026-11-29,
William Wildey,2025-09-26,
Allen Stolar,2022-07-29,
Kim Powell,2026-10-14,
Deborah Hoban,2021-11-05,
Jeffrey Hulbert,2021-08-16,
Janyce Wyatt,2020-08-09,
Leticia Needleman,2024-04-28,
William Banks,2024-12-17,
Paula Gibbs,2020-10-05,
Brian Boldt,2025-08-14,
Harvey Kuhns,2025-01-27,
Na Roberts,2025-02-18,
Margaret Sanders,2021-03-15,
Maxwell Lee,2023-06-12,
James Riesenberg,2023-01-31,
Norma Burkman,2024-03-10,
Barry Yang,2022-12-06,
William Woods,2026-01-20,
Vickie Mcsorley,2026-04-19,
Joseph Kastner,2020-10-01,
William Moore,2023-01-29,
Susan Lee,2022-08-15,
Elizabeth Brown,2025-01-19,
Bobby Lane,2021-08-21,
Kim Bream,2022-01-20,
Alfred Wineland,2021-08-05,
Blaine Auton,2022-07-06,
John Nash,2022-05-15,
Bruce Martinez,2023-10-10,
Tracy Collins,2025-05-17,
Andrew Weinhold,2022-11-09,
Deborah Bigelow,2026-12-06,
Davis Hall,2026-05-03,
Guadalupe Dabney,2022-10-02,
William Leary,2020-05-01,
John Dimmick,2022-10-18,
Janet Clay,2022-09-28,
Andrew Harrison,2023-08-09,
Dylan Pothier,2021-12-10,
John Vigna,2024-03-06,
Tim Mills,2020-10-03,
Olivia Knight,2020-02-01,
Amanda Tracy,2026-02-02,
David Johnson,2020-11-14,
Teresa Huelle,2024-11-24,
Ryan Tabb,2025-02-11,
Jesse Symons,2026-10-17,
Teddy Mobilia,2022-10-01,
Wayne Dowdy,2022-06-10,
Catherine Lee,2021-08-25,
Richard Crazier,2021-03-01,
Jamie Barb,2021-11-27,
Richard Milam,2022-03-13,
Andrew Whitaker,2026-09-09,
Claude Russell,2021-04-07,
Shawn Summers,2022-07-24,
Tiffany Moyer,2026-03-24,
Joe Rantz,2020-04-10,
Colleen Burch,2021-06-04,
Scott Thao,2024-03-19,
Steven Burrell,2024-11-05,
Mary Long,2023-03-05,
Mirta Hanks,2023-11-04,
Shelia Douglas,2021-12-03,
Jack Pittman,2026-03-20,
Lorraine Duesterhaus,2024-10-07,
Kathleen Duran,2020-06-02,
Rick Whetstone,2026-11-16,
Christie Williams,2023-04-20,
Luz Legros,2023-07-14,
Peggy Greer,2021-08-25,
Rickie Salazar,2023-10-12,
Lawrence Sugarman,2021-11-17,
Kevin Sanders,2026-04-14,
Vivian Carpenter,2024-08-25,
Wendy Johnson,2021-11-17,
Steve Fischer,2025-07-17,
Norman Mosley,2025-12-11,
Judy Manalili,2020-09-21,
Dominic Racilis,2021-05-15,
Jaime Inman,2021-10-29,
Bessie Murphy,2020-12-22,
Sanjuanita Chewning,2024-12-09,
John Burdine,2024-09-22,
Mamie Ouellette,2025-06-20,
Kourtney Williams,2024-03-18,
Harry Freeman,2023-06-13,
Kimberly Mcguire,2025-06-11,
Gloria Langton,2023-02-07,
Melvin Rishel,2025-10-03,
Allyson Rexrode,2025-09-25,
Anita Nguyen,2025-07-14,
Deana Patterson,2021-12-08,
Willis Williams,2025-02-22,
Debra Kirk,2024-07-10,
Adam Bethune,2026-05-05,
Lori Betts,2020-02-12,
Gerald Ferrell,2024-02-25,
Peter Ling,2025-10-17,
Marion Boyd,2025-09-13,
Gregory Hess,2022-01-12,
Margaret Schmidt,2026-06-20,
Elizabeth Williams,2025-04-04,
Gail Mason,2025-06-12,
Sammy Berry,2023-05-12,
Sylvia Wallis,2025-03-04,
Oliver Rock,2026-08-26,
Robert Ahrens,2020-09-29,
Michael King,2026-09-18,
Richard Richardson,2021-11-14,
James Sullivan,2025-03-03,
James Peavy,2024-06-17,
Ashley Cortes,2026-08-31,
Elizabeth Allen,2022-02-19,
Zachary Mercier,2023-11-25,
Sharon Sather,2022-11-24,
Danny Gonzalez,2026-01-04,
Dana Fowler,2020-09-18,
Michael Hendrickson,2025-12-26,
Delores Moy,2020-12-29,
Joseph Zamudio,2024-06-28,
Lucille Lawson,2020-07-20,
Salvatore Stephens,2026-08-20,
Joyce Banks,2020-09-25,
Don Toto,2023-02-14,
Joann Cole,2023-05-01,
Gerald Ginther,2021-05-15,
Nell Brown,2022-06-24,
Mark Gustafson,2021-02-09,
Richard Dalton,2022-07-02,
Heather Wolford,2022-08-07,
Violeta Coleman,2024-11-22,
Paul Allen,2026-10-10,
Gustavo Ellis,2026-08-09,
James White,2020-01-24,
Alan Dale,2020-06-05,
Thomas Sherman,2023-11-02,
Ernesto Meissner,2026-11-11,
Raymond Knight,2026-08-18,
Robert Stonebraker,2021-07-03,
Mary Tedrow,2025-12-13,
Daine Morabito,2026-03-26,
Kayla Nelson,2024-01-26,
Charles Matchett,2025-12-23,
Russ Houseknecht,2023-02-20,
Ron Scott,2021-03-14,
Rex Canas,2023-09-01,
Darrell Sanders,2022-01-28,
John Dupont,2022-12-01,
Alfred Frost,2026-05-22,
Spencer Austin,2024-06-22,
Flora Borghese,2020-08-19,
Enrique Parker,2021-02-14,
Larry Fred,2020-06-04,
Scott Young,2023-10-28,
Emily Hall,2024-05-14,
Viola Andrews,2022-07-02,
Russell Smith,2024-04-25,
Daniel Digangi,2020-06-04,
Wayne Davis,2022-11-22,
Verna Hart,2025-02-14,
Robert Sanchez,2023-12-10,
Robert Dunham,2022-07-02,
Jill Reuter,2022-02-17,
Sean Moss,2021-02-23,
Alex Cortez,2023-08-09,
Robert Abramson,2022-08-26,
Elizabeth Griffies,2026-10-23,
Chris Gingerich,2026-12-22,
Willie Laney,2020-03-17,
Chante Leon,2026-12-15,
Sandy Ammons,2025-06-22,
Louise Cruz,2023-06-29,
Aida Kennedy,2021-09-15,
Heidi Buford,2025-06-08,
Elsie Warren,2025-12-05,
Daniel Ortiz,2021-10-25,
Thad Shepherd,2025-07-20,
Eva Ballard,2020-12-16,
Pamela Gregory,2022-06-12,
William Cookson,2022-10-27,
Alisa Madry,2020-10-13,
Stephen Pittman,2024-05-03,
Timmy Sledge,2020-11-15,
Philip Hoag,2020-06-26,
Frankie Breden,2024-08-23,
Raymond Sayle,2024-01-25,
Carla Tasker,2020-07-25,
Jeffery America,2023-06-07,
Sarah Becker,2021-06-16,
Steven Ratliff,2025-02-04,
Sheri Westgate,2022-08-24,
Robert Hudson,2020-08-23,
Shantel Hinson,2025-11-07,
Dana Barfield,2021-09-01,
Dale Arnhart,2023-03-04,
Pamela Borden,2025-09-22,
Richard Jackson,2025-01-10,
Stephen Krafft,2021-02-12,
Raymond Santucci,2023-05-27,
Fred Hyslop,2023-10-28,
Charles Barnes,2026-06-16,
Micheline Szabo,2022-11-28,
Carol Robinson,2023-12-17,
Leona Farry,2021-01-31,
Sheri Foster,2026-09-20,
Martha Orton,2022-05-21,
Napoleon Roberts,2024-08-22,
Brian Brown,2021-09-19,
Richard Wilson,2024-05-14,
Antonio Adams,2026-04-07,
Rudolph Ballinger,2025-12-28,
Bob Petersen,2024-09-19,
Vincent Coulter,2025-07-11,
Samantha Tanner,2023-03-26,
Barbara Isaacs,2020-08-22,
Harold Chapman,2024-09-01,
Robert Wells,2025-01-10,
Emilie Wilson,2026-02-09,
Sarah Ferebee,2021-09-17,
Glenn Norman,2024-12-07,
Lily Lewis,2025-01-23,
Mona Waters,2024-09-06,
Beatrice Peco,2021-03-21,
Francis Whitehorn,2021-09-23,
Dolores Ricci,2024-06-30,
Peter Carter,2023-11-26,
James Gallagher,2022-05-04,
Carmen Duckworth,2020-05-24,
Jannie Thomas,2026-10-08,
Florence Ditman,2023-02-27,
Gearldine Lawrence,2026-05-02,
Barry Saucedo,2024-09-20,
William Castro,2026-11-18,
Jenifer Sartor,2026-01-06,
Susan Hart,2025-06-29,
Jennifer Wood,2023-08-01,
Lillie Gonzales,2021-01-24,
Orlando Newby,2023-12-01,
Kristin Farmer,2024-10-16,
Leo Bradley,2023-08-10,
Amanda Menken,2021-12-25,
Joe Hudson,2023-05-13,
Alvin Tovar,2023-03-15,
Dennis Drey,2026-10-06,
Hoa Lorenzo,2023-12-02,
Vernon Gross,2025-10-23,
Dwayne Knapp,2021-03-28,
Joseph Herold,2026-05-29,
Lucy Card,2021-10-02,
Mark Kiley,2021-09-15,
Rebecca Liebert,2024-09-30,
Leslie Beeson,2026-02-17,
James Clemons,2025-10-26,
Erin Jacobs,2026-10-25,
Mary Mccoy,2024-01-21,
Frances Richardson,2020-01-14,
Kellie Briggs,2022-06-27,
Rochelle Gallagher,2022-04-12,
Gladys Jimenez,2022-12-11,
Daniel Diaz,2023-10-27,
Stanley Lawson,2024-01-17,
Roy Mclean,2021-06-11,
Brent Leavell,2021-11-07,
Erik Niebuhr,2021-07-13,
Sue Gilmore,2024-08-30,
Mckinley Henderson,2020-09-15,
Yolanda Perry,2022-11-05,
Margaret Sager,2026-01-21,
Whitney Nikolic,2023-05-09,
William Tyler,2020-09-29,
Nancy Mcdonald,2021-11-11,
Christine Black,2022-05-15,
Charlette Head,2023-11-24,
Lizzie Treuter,2026-06-12,
Karen Hamann,2025-07-09,
Verda Prince,2024-02-14,
David Numbers,2025-01-30,
Nancy Pai,2021-12-08,
Martha Demond,2025-08-13,
Jennifer Kearns,2024-01-13,
Sheila Mackey,2026-09-12,
Dorothy Erkkila,2021-09-23,
Jane Wang,2023-06-03,
Henrietta Willis,2021-07-31,
Ann Lewis,2020-03-05,
Vernon Harris,2026-08-12,
Katherine Baisden,2022-12-19,
Martin Jefferson,2025-06-09,
Rhoda Tomer,2024-02-21,
Robert Fryer,2026-01-22,
Steven Snider,2024-08-01,
Ricky Cupp,2020-08-08,
David Coon,2025-09-11,
Christina Cordell,2022-01-26,
Kimberly Bennett,2023-09-16,
Sonja Villar,2026-01-31,
Tonia Boulanger,2026-12-27,
Kimberly Mccarthy,2021-02-14,
Mary Lorenz,2020-10-21,
John Powell,2020-03-21,
Bernice Taylor,2025-03-08,
Scott Johnson,2026-04-21,
Rosa Avina,2021-06-10,
Wendy Tarr,2021-04-15,
Regina Buchanon,2021-08-25,
Kathryn Cormier,2024-01-22,
Matthew Davis,2023-07-30,
Jerry Zaring,2023-04-23,
Ralph Bradley,2020-02-06,
Clarita Grant,2025-07-10,
Debbie Perez,2025-09-02,
Ronald Gibson,2021-11-16,
Juan Criswell,2023-01-03,
Belinda Sims,2025-10-21,
Christopher Bixler,2025-02-24,
John Hughes,2025-11-19,
Lawrence Borne,2023-08-23,
Kimberly Simpson,2024-12-30,
Elissa Decook,2022-07-17,
Venetta Smith,2022-05-02,
Vincent Engebretson,2023-12-03,
Donald Crespo,2021-10-02,
Woodrow Vidales,2025-05-27,
William Crosby,2020-08-16,
Jackeline Corbeil,2026-06-16,
Mary Kramarczyk,2025-09-09,
Krista Jones,2025-01-24,
Anna Madison,2020-04-29,
Zoe Braxton,2023-05-16,
Helen Rodriguez,2021-12-11,
Helen Bailly,2022-05-12,
Ronald Hardin,2023-06-26,
Carol Newman,2025-04-17,
Leroy Stokes,2020-10-10,
Viola Depner,2025-11-19,
Juan Maddox,2026-04-06,
Rachel Burman,2022-04-21,
Daryl Clifford,2025-05-11,
Armand Willey,2022-08-08,
Rachell Fortier,2023-07-05,
Margaret Duckworth,2022-05-03,
Linda Upright,2023-06-12,
Kent Paul,2021-08-28,
Teresa Thompson,2024-04-17,
Louise Argabright,2025-01-24,
Margaret Bryant,2026-07-12,
George Tapia,2022-05-09,
Andrea Mcdaniels,2022-04-22,
Marisela Otis,2024-10-09,
Elizabeth Lombardi,2024-05-11,
Angela Mcclain,2024-09-29,
Sergio Sandoval,2025-11-22,
Pamela Kallas,2023-04-08,
Ruben Rogers,2023-11-18,
Jodi Nickerson,2025-12-24,
John Patterson,2022-06-18,
Sabine Miller,2020-03-04,
Tanya Giles,2020-08-07,
Jeffrey Dang,2023-11-29,
Kim Silverstein,2023-03-16,
Patricia Wilson,2022-01-28,
Ashley Wolfe,2025-01-26,
Mina Gary,2021-06-25,
Anthony Howard,2024-02-04,
Rebecca Berry,2023-08-14,
Erin Stout,2021-08-27,
Maria Laud,2024-12-13,
Christy Setzer,2020-08-01,
Donald Ray,2023-04-14,
James Hayes,2020-04-25,
Marshall Sinisi,2023-04-06,
Shana Mohr,2026-08-26,
Beverly Arko,2022-04-03,
Carl Walker,2023-02-20,
Boyd Bobrow,2020-05-13,
Cody Kinkade,2020-12-01,
Charles Moses,2020-10-22,
Dana Silva,2026-11-19,
Alan Hackman,2024-04-16,
Scott Pena,2020-07-29,
Irene Fain,2021-12-17,
Daniel Baldwin,2020-01-04,
Melissa Bodo,2025-07-05,
Maria Todd,2026-08-22,
James Young,2021-09-22,
Diana Bissell,2024-04-03,
Maria Duckworth,2025-12-11,
Jarvis Hema,2025-12-07,
Mary Kelly,2023-12-08,
Dorothy Shah,2024-06-14,
Connie Vien,2022-07-29,
Garry Howard,2025-02-25,
Floyd Craze,2022-02-27,
Alexander Obrien,2026-01-13,
Kyle Higgins,2025-12-12,
Dale Stewart,2024-11-08,
Lawrence Miner,2022-10-27,
Abraham Cardenas,2022-10-27,
Christine Massie,2025-08-27,
Patricia Washington,2020-01-22,
Chester Hendricks,2022-12-27,
Eugene Bayles,2020-12-10,
Patricia Waage,2021-02-04,
Peter Pettiford,2021-05-24,
Wayne Kalar,2020-11-05,
Rick Pina,2026-12-15,
Donna Jeffers,2024-01-14,
Elizabeth Gagne,2021-08-31,
Donna Romero,2023-04-13,
Barry Nash,2025-01-10,
Terry Marshall,2021-12-24,
Phillip Carranza,2024-09-01,
Robert Rhoades,2020-02-18,
Naomi Wilson,2022-07-29,
Robert Kelly,2025-02-22,
Drusilla Brown,2020-07-18,
Margaret Cartmill,2022-09-24,
Tracie Lopez,2020-10-20,
Robert Elson,2020-02-19,
Tim Mckenzie,2024-01-05,
James Quinn,2020-01-19,
Larry Hunt,2021-11-22,
Robert Spaulding,2025-06-14,
Stephen Cager,2023-12-25,
Roy Huston,2021-05-24,
Phillip Gattshall,2026-07-09,
Manuel Lacasse,2025-09-02,
Jeffrey Price,2021-01-01,
Kirstin Broadwater,2020-09-30,
Patrick Moody,2021-04-18,
Paul Stiles,2022-05-22,
Ingrid Lang,2025-11-22,
Douglas Simmons,2022-11-14,
Christine Potter,2020-01-21,
Christopher Morant,2022-07-04,
Lois Yon,2022-07-01,
Rochelle Hedge,2023-02-09,
John Hawkins,2023-06-23,
Mary Stallings,2022-02-12,
Janet Edwards,2023-03-29,
Randal Gist,2023-05-29,
David Benett,2021-02-28,
Ronald Sessoms,2020-04-11,
Rita Srey,2025-01-23,
Alex Brown,2025-11-11,
Wesley Huppert,2026-07-23,
Clark Mccoy,2026-01-31,
Lesley Lucy,2025-05-09,
Nancy Hafley,2026-11-20,
Judy Jackson,2021-09-26,
Vincent Koch,2025-08-22,
Linda Ammons,2025-05-02,
Stewart Huynh,2021-10-05,
Cordia Macki,2025-07-20,
Dolores Wilbourn,2024-03-08,
Daniel Spain,2022-09-07,
Priscilla Wilson,2023-01-29,
Leola Vissering,2023-01-31,
Lavone Guerin,2020-07-28,
Teresa Trax,2022-10-08,
Kristie Johnson,2022-04-01,
Michael Samson,2024-12-07,
Christine Romero,2021-05-18,
Dustin Bush,2026-03-13,
Randy Gibson,2025-12-12,
Ebony Beierle,2022-10-12,
Mary Boyd,2020-12-26,
Joann Los,2020-11-05,
Helen Outlaw,2026-03-07,
Terry Chavez,2022-05-20,
Mary Johnson,2023-06-26,
Donna Christensen,2021-11-25,
Laurel Lucas,2026-05-16,
Dawn Courtemanche,2026-10-15,
John Hedges,2025-07-09,
Inez Howe,2025-10-18,
Sally Crocker,2021-08-19,
Andrew Messner,2021-01-03,
Dorothy Hoang,2021-05-09,
Elizabeth Thomas,2025-04-28,
Rhonda Williams,2024-05-15,
Lisa Imperato,2024-01-04,
Diane Babb,2024-12-05,
Elizabeth Beveridge,2025-09-24,
Richard Hileman,2021-07-16,
Eva Castaneda,2025-10-01,
Margaret Johnson,2022-02-25,
Jeffrey Couch,2025-10-07,
Laura Browne,2025-10-07,
Cecil Purser,2024-10-13,
Billie Bode,2026-03-05,
Leo Bristow,2021-02-10,
Walter Arsenault,2026-08-14,
Joanie Woodard,2022-08-06,
Rachel Carter,2021-04-18,
Thomas Woodbury,2020-01-15,
Earl Fielding,2026-11-10,
Gerald Tyndall,2022-09-24,
Jody Peters,2022-09-30,
Jessie Page,2023-12-22,
Nancy Pichette,2023-07-25,
James Birks,2023-11-08,
Pamela Sumners,2020-05-20,
Mary Hutto,2025-07-21,
Santiago Cross,2023-09-10,
Dorothy Simms,2020-08-19,
Edelmira Petersen,2025-09-14,
Edna Fernandez,2023-07-04,
Jack Merten,2024-03-13,
James Cilek,2025-12-06,
Lewis Wentz,2022-06-07,
Andrew Wiggins,2024-08-05,
Barbara Lomeli,2024-04-22,
Jesus Hill,2023-10-10,
William Rose,2024-06-28,
James Mcmillan,2020-07-12,
Sharon Raab,2023-04-07,
James Byassee,2025-04-09,
Roy Price,2024-07-12,
Linda Odell,2025-02-03,
Bonnie Darnley,2025-04-14,
Judith Sparks,2021-06-10,
Jarod Caldwell,2021-10-16,
Sean Pennington,2021-05-15,
Earl Swink,2020-08-20,
Ann Kircher,2025-04-20,
Elizabeth Carlisle,2020-07-09,
Julian Woodward,2024-03-09,
Richard Whitaker,2021-11-14,
Maria Elliam,2021-06-02,
Joey Holt,2025-03-26,
David Hafer,2026-04-10,
Wendy Fritts,2025-10-20,
Matthew Seals,2020-03-28,
Edward Webster,2026-02-17,
Ty Nicholson,2025-12-14,
Vaughn Parrish,2026-12-05,
James Hicks,2022-11-15,
Dallas Pace,2020-10-18,
Albert Jones,2021-10-10,
Duane Bradley,2021-02-27,
Pamala Steven,2024-11-14,
Cynthia Madsen,2026-03-05,
Willis Hull,2024-04-11,
Robert Valliere,2022-07-04,
Erika Losey,2025-03-28,
Theodore Hilt,2020-04-29,
Trudy Doss,2026-08-28,
Robert Morton,2023-12-12,
Charles Bland,2024-05-21,
John Dangelo,2026-10-29,
Sonia Hatmaker,2025-07-23,
Lisa Davis,2024-04-19,
Dorothy Martinez,2025-03-12,
Ramona Robertson,2022-11-28,
Stanley Allgood,2024-09-24,
Elizabeth Tucker,2021-05-03,
Sheila Babers,2024-04-30,
James Labbie,2024-07-20,
Salvador Golden,2020-01-30,
Rita Wonders,2020-12-01,
Kevin Perez,2026-08-19,
Nelson Mccarthy,2023-02-26,
Mark Cooley,2020-01-14,
Debbie Matin,2021-08-25,
Tyson Waldo,2021-08-15,
Adrienne Mccool,2020-02-26,
Shirl Rodriguez,2021-12-01,
Rachel Gainer,2021-03-11,
Dionne Ball,2021-05-08,
Thomas Mittendorf,2020-11-17,
Martha Dick,2025-03-22,
Randall Jones,2023-10-21,
James Villanveva,2025-08-23,
Pamela Crockett,2021-06-19,
Ernest Donahue,2022-11-09,
Virginia Respress,2025-07-19,
Domingo Phillips,2023-08-14,
Joanna Cantwell,2025-03-19,
Angela Hankins,2023-08-25,
Betty Oliver,2025-11-20,
Joe Johnston,2026-06-27,
Angel Glass,2021-05-16,
Pauline Prince,2021-12-20,
James Gray,2020-05-21,
Flora Reynolds,2021-07-29,
Thomas Rayburn,2021-11-01,
Iris Prioleau,2024-08-07,
David Gomez,2024-03-25,
Michael Cook,2024-02-11,
Jimmy Cabrera,2023-07-25,
